==========================================
Atan Simulation
==========================================
At                 2280ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2290ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2300ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2310ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2320ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2330ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2340ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2350ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2360ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2370ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2380ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2390ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2400ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2410ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2420ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2430ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2440ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2450ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2460ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2470ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2480ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2490ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2500ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2510ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2520ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2530ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2540ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2550ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2560ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2570ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2580ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2590ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2600ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2610ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2620ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2630ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2640ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2650ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2660ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2670ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2680ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2690ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2700ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2710ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2720ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2730ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2740ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2750ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2760ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2770ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
